category,subcategory,merchant_id
WOMENS_FASHION,Women's Clothing Stores - 448120,78986
HOME_FURNISHINGS,Furniture Stores - 442110,54871
#N/A,Women's Clothing Stores - 448120,86469
OTHER,Musical Instrument and Supplies Stores - 451140,42719
JEWELRY,Jewelry Stores - 448310,40242
WOMENS_FASHION,Women's Clothing Stores - 448120,11801
CONSUMER_ELECTRONICS,Elementary and Secondary Schools - 611110,25861
WOMENS_FASHION,Clothing Accessories Stores - 448150,27822
WOMENS_FASHION,Women's Clothing Stores - 448120,17371
JEWELRY,Jewelry Stores - 448310,21004
HOME_FURNISHINGS,Furniture Stores - 442110,53810
OTHER,All Other Health and Personal Care Stores - 446199,12368
AUTO_PARTS,Automotive Parts and Accessories Stores - 441310,64462
OTHER,All Other Health and Personal Care Stores - 446199,14754
OTHER,Shoe Stores - 448210,37889
PERSONAL_SERVICE,Offices of Dentists - 621210,47974
OTHER,All Other Health and Personal Care Stores - 446199,25557
OTHER,Sporting Goods Stores - 451110,56990
JEWELRY,Jewelry Stores - 448310,67386
OTHER,Sporting Goods Stores - 451110,37559
OTHER,Musical Instrument and Supplies Stores - 451140,36413
OTHER,All Other Health and Personal Care Stores - 446199,66431
WOMENS_FASHION,Luggage and Leather Goods Stores - 448320,57280
CONSUMER_ELECTRONICS,Business to Business Electronic Markets - 425110,30018
OTHER,All Other Health and Personal Care Stores - 446199,52521
HOME_FURNISHINGS,Furniture Stores - 442110,13615
BEAUTY,"Cosmetics, Beauty Supplies, and Perfume Stores - 446120",39521
HOME_FURNISHINGS,Furniture Stores - 442110,76187
JEWELRY,Jewelry Stores - 448310,90024
JEWELRY,Jewelry Stores - 448310,83007
OTHER,Musical Instrument and Supplies Stores - 451140,72089
OTHER,Musical Instrument and Supplies Stores - 451140,64564
JEWELRY,Jewelry Stores - 448310,28833
HOME_FURNISHINGS,Furniture Stores - 442110,26696
OTHER,"Hobby, Toy, and Game Stores - 451120",83349
OTHER,Musical Instrument and Supplies Stores - 451140,40512
JEWELRY,Jewelry Stores - 448310,29573
CONSUMER_ELECTRONICS,Electronics Stores - 443142,66127
JEWELRY,Jewelry Stores - 448310,21132
OTHER,All Other Health and Personal Care Stores - 446199,78133
AUTO_PARTS,Automotive Parts and Accessories Stores - 441310,69998
CONSUMER_ELECTRONICS,Musical Instrument and Supplies Stores - 451140,61893
OTHER,Electronics Stores - 443142,61474
CONSUMER_ELECTRONICS,Wireless Telecommunications Carriers (except Satellite) - 517210,60893
OTHER,"Gift, Novelty, and Souvenir Stores - 453220",73892
OTHER,Musical Instrument and Supplies Stores - 451140,48943
OTHER,Electronics Stores - 443142,65116
AUTO_PARTS,Automotive Parts and Accessories Stores - 441310,75318
JEWELRY,Jewelry Stores - 448310,34662
HOME_FURNISHINGS,Furniture Stores - 442110,20513
OTHER,Electronics Stores - 443142,25142
WOMENS_FASHION,Luggage and Leather Goods Stores - 448320,12532
OTHER,Jewelry Stores - 448310,91534
OTHER,Professional and Management Development Training - 611430,50584
OTHER,All Other Miscellaneous Schools and Instruction - 611699,53936
OTHER,Security Systems Services (except Locksmiths) - 561621,97926
OTHER,All Other Health and Personal Care Stores - 446199,88214
HOME_FURNISHINGS,Furniture Stores - 442110,63991
OTHER,Sporting Goods Stores - 451110,97508
AUTO_PARTS,Automotive Parts and Accessories Stores - 441310,57481
CONSUMER_ELECTRONICS,#N/A,78100
HOME_FURNISHINGS,Furniture Stores - 442110,23023
MENS_FASHION,Clothing Accessories Stores - 448150,24289
HOME_FURNISHINGS,Electrical Contractors and Other Wiring Installation Contractors - 238210,12288
#N/A,Electronics Stores - 443142,47147
OTHER,Sporting Goods Stores - 451110,92378
OTHER,Musical Instrument and Supplies Stores - 451140,13846
OTHER,Sporting Goods Stores - 451110,62512
OTHER,Sporting Goods Stores - 451110,61453
JEWELRY,Jewelry Stores - 448310,78128
OTHER,Musical Instrument and Supplies Stores - 451140,22950
OTHER,Jewelry Stores - 448310,23058
OTHER,Security Systems Services (except Locksmiths) - 561621,31029
OTHER,Electronics Stores - 443142,46181
JEWELRY,Jewelry Stores - 448310,34543
HOME_FURNISHINGS,Furniture Stores - 442110,53435
HOME_FURNISHINGS,Furniture Stores - 442110,43751
OTHER,Musical Instrument and Supplies Stores - 451140,80394
OTHER,Business to Business Electronic Markets - 425110,47934
OTHER,Pet and Pet Supplies Stores - 453910,75173
OTHER,"Hobby, Toy, and Game Stores - 451120",15203
OTHER,Service Establishment Equipment and Supplies Merchant Wholesalers - 423850,57265
JEWELRY,Jewelry Stores - 448310,62393
OTHER,All Other Health and Personal Care Stores - 446199,85561
CONSUMER_ELECTRONICS,Business to Business Electronic Markets - 425110,59868
OTHER,Jewelry Stores - 448310,43898
CONSUMER_ELECTRONICS,All Other Health and Personal Care Stores - 446199,83738
CONSUMER_ELECTRONICS,Electronics Stores - 443142,20127
OTHER,Wireless Telecommunications Carriers (except Satellite) - 517210,42733
CONSUMER_ELECTRONICS,Musical Instrument and Supplies Stores - 451140,25302
OTHER,Electronics Stores - 443142,42009
HOME_FURNISHINGS,Furniture Stores - 442110,53135
WOMENS_FASHION,Women's Clothing Stores - 448120,63702
OTHER,"Motorcycle, ATV, and All Other Motor Vehicle Dealers - 441228",80644
JEWELRY,Jewelry Stores - 448310,62742
OTHER,Furniture Stores - 442110,14377
OTHER,#N/A,75304
AUTO_PARTS,Automotive Parts and Accessories Stores - 441310,20531
OTHER,All Other Health and Personal Care Stores - 446199,99898
JEWELRY,Jewelry Stores - 448310,26361
OTHER,Automotive Parts and Accessories Stores - 441310,58446
CONSUMER_ELECTRONICS,Business to Business Electronic Markets - 425110,72148
JEWELRY,Jewelry Stores - 448310,99859
OTHER,Furniture Stores - 442110,81717
HOME_FURNISHINGS,Furniture Stores - 442110,35977
OTHER,Service Establishment Equipment and Supplies Merchant Wholesalers - 423850,93651
OTHER,Jewelry Stores - 448310,31071
HOME_FURNISHINGS,Other Building Material Dealers - 444190,85533
WOMENS_FASHION,Clothing Accessories Stores - 448150,51182
JEWELRY,Jewelry Stores - 448310,19056
PERSONAL_SERVICE,All Other Miscellaneous Schools and Instruction - 611699,88583
OTHER,All Other Health and Personal Care Stores - 446199,44063
OTHER,Clothing Accessories Stores - 448150,18450
OTHER,All Other Health and Personal Care Stores - 446199,59155
OTHER,#N/A,57643
HOME_FURNISHINGS,Hardware Stores - 444130,24885
JEWELRY,Jewelry Stores - 448310,31121
JEWELRY,Jewelry Stores - 448310,13475
OTHER,Sporting Goods Stores - 451110,81395
HOME_FURNISHINGS,Furniture Stores - 442110,44430
HOME_FURNISHINGS,Furniture Stores - 442110,28994
JEWELRY,Jewelry Stores - 448310,73913
OTHER,All Other Health and Personal Care Stores - 446199,46716
OTHER,Clothing Accessories Stores - 448150,92660
HOME_FURNISHINGS,Furniture Stores - 442110,61760
HOME_FURNISHINGS,Furniture Stores - 442110,82530
JEWELRY,Jewelry Stores - 448310,26462
HOME_FURNISHINGS,#N/A,91371
OTHER,All Other Health and Personal Care Stores - 446199,35999
OTHER,Sporting Goods Stores - 451110,44770
OTHER,#N/A,58529
OTHER,Jewelry Stores - 448310,35255
JEWELRY,Jewelry Stores - 448310,28549
OTHER,"Hobby, Toy, and Game Stores - 451120",28124
OTHER,#N/A,45593
OTHER,Sporting Goods Stores - 451110,23524
OTHER,Clothing Accessories Stores - 448150,95312
OTHER,Jewelry Stores - 448310,32871
OTHER,Sporting Goods Stores - 451110,45699
OTHER,Musical Instrument and Supplies Stores - 451140,57731
OTHER,All Other Health and Personal Care Stores - 446199,58894
OTHER,#N/A,73545
HOME_FURNISHINGS,Furniture Stores - 442110,44379
